trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars,candidate,cost_mult
76.0,61.8421052631579,39.18136746695531,0.5155443087757278,2.315012007515772,4.163107198443356,4.0,61.8421052631579,14.81578947368421,10.0,standard_v1_v04_filtered,1
76.0,61.8421052631579,36.53165211452514,0.4806796330858571,2.1814140444906363,4.326214396886716,4.0,61.8421052631579,14.81578947368421,10.0,standard_v1_v04_filtered,2
76.0,61.8421052631579,33.881936762094966,0.4458149573959864,2.0572082074983515,4.489321595330072,4.0,61.8421052631579,14.81578947368421,10.0,standard_v1_v04_filtered,3
76.0,61.8421052631579,28.58250605723462,0.376085606016245,1.8332714509587469,4.851549725252328,4.0,61.8421052631579,14.81578947368421,10.0,standard_v1_v04_filtered,5
76.0,61.8421052631579,15.33392929508376,0.20176222756689158,1.3839799586559236,7.831954044502476,4.0,61.8421052631579,14.81578947368421,10.0,standard_v1_v04_filtered,10
69.0,65.21739130434783,41.47021784041192,0.6010176498610423,2.686277060522746,3.128434542842495,3.0,65.21739130434783,15.46376811594203,11.0,standard_v1_wave1_quality,1
69.0,65.21739130434783,39.109352861438346,0.5668022153831644,2.532701414449973,3.25686908568499,3.0,65.21739130434783,15.46376811594203,11.0,standard_v1_wave1_quality,2
69.0,65.21739130434783,36.74848788246479,0.5325867809052868,2.389857859665155,3.3853036285274847,3.0,65.21739130434783,15.46376811594203,11.0,standard_v1_wave1_quality,3
69.0,65.21739130434783,32.02675792451764,0.464155911949531,2.13216109481948,3.6781864472480184,3.0,65.21739130434783,15.46376811594203,11.0,standard_v1_wave1_quality,5
69.0,65.21739130434783,20.22243302964981,0.2930787395601422,1.6145252207557093,5.238462400090305,3.0,65.21739130434783,15.46376811594203,11.0,standard_v1_wave1_quality,10
73.0,64.38356164383562,42.31353648402554,0.5796374860825416,2.5869594226585915,3.128434542842495,3.0,64.38356164383562,14.849315068493151,10.0,standard_v1_wave1_balanced,1
73.0,64.38356164383562,39.795990148665595,0.5451505499817205,2.4388790474035424,3.25686908568499,3.0,64.38356164383562,14.849315068493151,10.0,standard_v1_wave1_balanced,2
73.0,64.38356164383562,37.27844381330566,0.5106636138808994,2.3010768383766975,3.3853036285274847,3.0,64.38356164383562,14.849315068493151,10.0,standard_v1_wave1_balanced,3
73.0,64.38356164383562,32.243351142585766,0.44168974167925706,2.052304329692576,3.6781864472480184,3.0,64.38356164383562,14.849315068493151,10.0,standard_v1_wave1_balanced,5
73.0,64.38356164383562,19.655619465786046,0.2692550611751513,1.551930322135614,6.606613988193096,3.0,64.38356164383562,14.849315068493151,10.0,standard_v1_wave1_balanced,10
75.0,62.66666666666667,40.20390147258625,0.5360520196344833,2.3972830899048523,4.163107198443356,4.0,62.66666666666667,14.96,10.0,standard_v1_wave1_loose,1
75.0,62.66666666666667,37.57672012578701,0.5010229350104936,2.2577180025896695,4.326214396886716,4.0,62.66666666666667,14.96,10.0,standard_v1_wave1_loose,2
75.0,62.66666666666667,34.94953877898778,0.4659938503865037,2.1280996214465184,4.489321595330072,4.0,62.66666666666667,14.96,10.0,standard_v1_wave1_loose,3
75.0,62.66666666666667,29.69517608538931,0.3959356811385241,1.8947325766250616,4.851549725252328,4.0,62.66666666666667,14.96,10.0,standard_v1_wave1_loose,5
75.0,62.66666666666667,16.55926935139314,0.22079025801857521,1.4277902502688766,6.6066139881930965,4.0,62.66666666666667,14.96,10.0,standard_v1_wave1_loose,10
88.0,61.36363636363637,44.282945103371716,0.5032152852655877,2.2657571492588957,4.174137463355834,4.0,61.36363636363637,15.340909090909092,10.0,expanded_v1_082_ex16_wave1_balanced,1
88.0,61.36363636363637,41.23480738735795,0.4685773566745221,2.1358899019498025,4.348274926711664,4.0,61.36363636363637,15.340909090909092,10.0,expanded_v1_082_ex16_wave1_balanced,2
88.0,61.36363636363637,38.18666967134418,0.43393942808345654,2.0151118909063177,4.8928362639088725,4.0,61.36363636363637,15.340909090909092,10.0,expanded_v1_082_ex16_wave1_balanced,3
88.0,61.36363636363637,32.09039423931664,0.36466357090132545,1.7972563795797813,6.175849042905056,4.0,61.36363636363637,15.340909090909092,10.0,expanded_v1_082_ex16_wave1_balanced,5
88.0,61.36363636363637,16.84970565924778,0.1914739279459975,1.3597815825884563,10.277463796589576,4.0,61.36363636363637,15.340909090909092,10.0,expanded_v1_082_ex16_wave1_balanced,10
69.0,62.31884057971014,36.42959268671642,0.5279651114016872,2.365854503087198,4.163107198443356,4.0,62.31884057971014,14.753623188405797,10.0,conservative_v03_strict,1
69.0,62.31884057971014,34.02810255404736,0.49316090658039646,2.229588526088705,4.326214396886714,4.0,62.31884057971014,14.753623188405797,10.0,conservative_v03_strict,2
69.0,62.31884057971014,31.626612421378308,0.4583567017591059,2.1028519814133726,4.489321595330072,4.0,62.31884057971014,14.753623188405797,10.0,conservative_v03_strict,3
69.0,62.31884057971014,26.8236321560402,0.3887482921165247,1.8742300310177809,4.851549725252326,4.0,62.31884057971014,14.753623188405797,10.0,conservative_v03_strict,5
69.0,62.31884057971014,14.816181492694923,0.21472726801007136,1.4150627908083941,7.716935613788901,4.0,62.31884057971014,14.753623188405797,10.0,conservative_v03_strict,10
79.0,60.75949367088608,38.631190794329186,0.48900241511809095,2.213595538829523,4.163107198443356,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,1
79.0,60.75949367088608,35.93129876927292,0.4548265666996572,2.0889885434144633,4.326214396886714,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,2
79.0,60.75949367088608,33.23140674421664,0.4206507182812233,1.9728673595495365,4.489321595330072,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,3
79.0,60.75949367088608,27.831622694104095,0.35229902144435565,1.7628361654899525,4.851549725252328,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,5
79.0,60.75949367088608,14.33216256882275,0.1814197793521867,1.338822687895941,7.831954044502476,4.0,60.75949367088608,15.367088607594937,10.0,simple_v04_less_fit,10
44.0,61.36363636363637,22.192564799537752,0.5043764727167671,2.2786632200773087,4.182526010812811,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,1
44.0,61.36363636363637,20.55404677968999,0.4671374268111361,2.139156420053581,4.365052021625623,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,2
44.0,61.36363636363637,18.915528759842225,0.4298983809055051,2.009885628925437,4.547578032438436,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,3
44.0,61.36363636363637,15.638492720146694,0.35542028909424306,1.777853839910175,5.19051104102993,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,5
44.0,61.36363636363637,7.445902620907875,0.16922505956608805,1.3163029116633316,6.881022082059859,4.0,61.36363636363637,17.636363636363637,12.0,standard_a_h4_not_oppose,10
16.0,62.5,8.784834532257907,0.5490521582661192,2.493661465955875,2.082231339723051,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,1
16.0,62.5,8.23858624513032,0.514911640320645,2.3519395056746895,2.1644626794461024,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,2
16.0,62.5,7.69233795800273,0.4807711223751706,2.219768109483607,2.2466940191691536,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,3
16.0,62.5,6.599841383747551,0.4124900864842219,1.9804591703166443,2.411156698615256,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,5
16.0,62.5,3.868599948109606,0.24178749675685038,1.496366417345062,2.822313397230512,2.0,62.5,19.6875,13.5,standard_h4_and_shallow_compare,10
25.0,68.0,17.04573562783832,0.6818294251135327,3.1473503517950125,3.1109783042280323,3.0,68.0,16.2,9.0,standard_shallow_no_h4,1
25.0,68.0,16.26038843629121,0.6504155374516484,2.9812474573858334,3.2219566084560647,3.0,68.0,16.2,9.0,standard_shallow_no_h4,2
25.0,68.0,15.475041244744094,0.6190016497897638,2.825691839533596,3.3329349126840953,3.0,68.0,16.2,9.0,standard_shallow_no_h4,3
25.0,68.0,13.904346861649872,0.5561738744659949,2.5424439471675413,3.554891521140158,3.0,68.0,16.2,9.0,standard_shallow_no_h4,5
25.0,68.0,9.977610903914313,0.3991044361565725,1.9630838561548412,4.109783042280316,3.0,68.0,16.2,9.0,standard_shallow_no_h4,10
23.0,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,1
23.0,69.56521739130434,15.884055261479684,0.6906110983252036,3.225342861689406,2.1644626794461024,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,2
23.0,69.56521739130434,15.160541482526812,0.6591539775011658,3.0564352826649173,2.246694019169154,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,3
23.0,69.56521739130434,13.713513924621065,0.5962397358530898,2.7489211575324712,2.4111566986152555,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,5
23.0,69.56521739130434,10.0959450298567,0.43895413173290004,2.120111666910213,2.822313397230512,2.0,69.56521739130434,16.043478260869566,9.0,standard_wave1_quality_shallow,10
